id,response
31,"L'application plante à chaque fois que j'essaie de créer une tâche récurrente. Très frustrant car c'est une fonctionnalité que j'utilise beaucoup."
32,"Parfaite pour organiser ma vie perso et pro ! Les différents espaces de travail permettent de bien séparer les contextes."
33,"Manque d'options de personnalisation avancées"
34,"Service client au top ! Ils ont résolu mon problème de synchronisation en moins de 24h avec des explications très claires."
35,"L'app est bien conçue mais pourquoi faut-il payer pour avoir plus de 5 projets ? C'est limitant pour un usage professionnel sérieux."
36,"Très intuitive à prendre en main. Même ma mère de 65 ans arrive à s'en servir pour organiser ses rendez-vous !"
37,"La sauvegarde automatique ne marche pas bien, j'ai perdu des données deux fois"
38,"Application solide avec de bonnes fonctionnalités de base. L'intégration avec Slack est pratique pour notre équipe de développeurs."
39,"Interface trop chargée à mon goût, difficile de s'y retrouver avec toutes ces options partout."
40,"Excellente ! Les rappels intelligents basés sur ma localisation sont bluffants. Plus jamais d'oubli quand je passe au supermarché."
41,"Ça va, sans plus"
42,"L'app fait ce qu'on lui demande mais l'absence de mode hors-ligne est problématique quand je voyage sans internet."
43,"Super pour les listes de courses et tâches simples. Par contre pour la gestion de projets complexes, c'est un peu juste."
44,"Pourquoi l'app demande l'accès à mes contacts alors que j'utilise pas les fonctions de partage ??"
45,"Interface agréable et fonctionnalités complètes. Le système de priorités automatiques basé sur les échéances est très malin."
46,"Trop de notifications par défaut, ça spamme"
47,"Application parfaite pour ma micro-entreprise ! La gestion des clients et projets en parallèle avec un système de facturation simple."
48,"La recherche vocale ne comprend rien à ce que je dis... inutilisable"
49,"Très satisfait globalement. Interface moderne, pas de bugs majeurs, et les nouvelles fonctionnalités arrivent régulièrement via les mises à jour."
50,"L'app est lente à démarrer sur mon Android"
51,"Fonctionnalité de templates géniale ! J'ai créé mes modèles de projets récurrents et ça me fait gagner 30 minutes par semaine minimum."
52,"Design sympa mais il manque un widget pour l'écran d'accueil. J'aimerais voir mes tâches du jour sans ouvrir l'app."
53,"Application correcte mais la version gratuite est trop limitée. 3 projets max c'est ridicule en 2025."
54,"J'utilise cette app depuis 6 mois et c'est du solide ! Synchronisation parfaite, interface claire, et support réactif."
55,"Les graphiques de productivité sont motivants mais pas assez détaillés"
56,"Excellente pour la planification familiale ! Chaque membre peut voir et modifier les tâches communes, très pratique pour l'organisation."
57,"L'import depuis d'autres apps ne fonctionne pas correctement, j'ai perdu la moitié de mes données lors de la migration."
58,"Simple, efficace, rapide. Exactement ce que je cherchais pour organiser mes tâches sans fioritures inutiles."
59,"Pas mal mais manque d'originalité par rapport à Todoist ou Notion"
60,"L'application rame quand j'ai plus de 200 tâches dans ma liste. Problème d'optimisation à corriger."
61,"Interface intuitive et fonctionnalités bien pensées. J'apprécie particulièrement la possibilité de créer des dépendances entre tâches."
62,"Notifications qui arrivent pas au bon moment"
63,"Très bonne application pour la gestion de projets créatifs ! Les boards visuels et la timeline sont parfaits pour mes campagnes marketing."
64,"L'app consomme beaucoup de données mobiles même en arrière-plan. Faudrait optimiser ça."
65,"Parfaite pour les étudiants ! La gestion des devoirs avec dates d'échéance et priorités m'aide énormément pour mes révisions."
66,"Synchronisation entre appareils parfaite, interface moderne, mais pourquoi pas d'intégration avec Apple Watch ?"
67,"Trop de fonctionnalités que j'utilise jamais, ça encombre l'interface"
68,"Application stable et bien conçue. Les raccourcis clavier sur la version desktop sont un vrai plus pour la productivité."
69,"La fonction de time tracking est approximative, elle compte pas les pauses correctement."
70,"Super app ! La possibilité de déléguer des tâches à mes collègues avec suivi automatique révolutionne notre organisation d'équipe."
71,"Interface jolie mais pas assez de customisation"
72,"L'application fait exactement ce pour quoi elle est conçue. Pas de bugs, synchronisation rapide, notifications pertinentes. Très satisfait."
73,"Le mode focus avec blocage des distractions est génial pour mes sessions de travail intensif !"
74,"Manque une fonction de sauvegarde locale pour les paranos de la vie privée comme moi"
75,"Excellente application de productivité ! L'analyse automatique de mes habitudes de travail m'a aidé à identifier mes heures les plus productives."
76,"L'app plante quand je scroll trop vite dans une longue liste"
77,"Fonctionnalités complètes et interface agréable. Seul bémol : l'absence de thèmes personnalisés pour adapter l'app à mes goûts."
78,"Pourquoi faut-il créer un compte obligatoirement ? Je veux juste une todo list locale !"
79,"Application parfaite pour freelances ! Gestion clients, projets, facturation et suivi du temps, tout en un. Un peu cher mais ça vaut le coup."
80,"Les mises à jour cassent souvent des trucs qui marchaient avant"
81,"Interface moderne et intuitive. Les animations sont fluides et l'app répond bien. Très bonne première impression après une semaine d'utilisation."
82,"Correcte mais rien d'extraordinaire"
83,"L'intégration avec mes outils pro (Slack, Trello, Gmail) fonctionne parfaitement. Ça centralise vraiment toute ma productivité en un endroit."
84,"Application lente et parfois bugguée. La concurrence fait mieux pour moins cher malheureusement."
85,"Très pratique pour organiser les tâches ménagères en famille ! Système de points et récompenses qui motive même les ados."
86,"La version web est plus complète que l'app mobile, c'est dommage"
87,"Excellente app avec un concept innovant de gamification des tâches. Mes enfants adorent 'gagner des points' en rangeant leur chambre !"
88,"Trop d'autorisations demandées à l'installation"
89,"Application solide et fiable. Interface claire, pas de bugs majeurs, synchronisation efficace. Parfaite pour un usage professionnel quotidien."
90,"Les notifications de rappel sont trop agressives, on peut pas les personnaliser finement"
91,"Super pour la gestion de projets personnels ! Les diagrammes de Gantt simplifiés aident vraiment à visualiser les plannings complexes."
92,"L'app oublie mes paramètres de tri après chaque redémarrage, agaçant"
93,"Interface épurée et moderne. L'app fait exactement ce qu'elle promet sans fioritures inutiles. Parfait pour les minimalistes de la productivité."
94,"Bien mais chère pour ce que c'est"
95,"Fonctionnalité de collaboration en temps réel excellente ! Mon équipe peut modifier les projets simultanément sans conflits, très impressionnant techniquement."
96,"L'export des données en PDF est mal formaté"
97,"Application complète et bien pensée pour la productivité. Seul point négatif : consommation excessive de batterie sur les smartphones un peu anciens."
98,"Interface confuse, trop d'options partout"
99,"Parfaite pour organiser ma vie de parent ! Planning des enfants, tâches ménagères, rendez-vous médicaux, tout est centralisé et partagé avec mon conjoint."
100,"Application correcte dans l'ensemble. Quelques bugs mineurs mais rien de bloquant. Le rapport qualité-prix est honnête pour un usage personnel."
